model,test_auc,test_ks,test_gini,test_pr_auc,train_auc,val_auc,fit_time_min
XGBoost (Optuna),0.7201672848044047,0.3177813787829228,0.44033456960880946,0.43057915216473613,,,
LightGBM (Optuna),0.718448501593977,0.3176325565659197,0.436897003187954,0.427614732333091,,,
EBM,0.7175753690735139,0.3159892083996822,0.43515073814702787,0.4275029763992361,0.7154969100825579,0.7391513063695861,5.5
FT-Transformer,0.7175179079972732,0.31660041473047,0.43503581599454644,0.4286739263895057,0.7208921152627362,0.7393623650765282,33.7
TabNet,0.7173285854878104,0.3156470834278526,0.43465717097562084,0.42763730097047536,,,31.8
Stage 2 — WOE Scorecard,0.704,0.2946,0.4079,0.411,,,0.1
