Method,AUC,DPD,DIR,Notes
Baseline (no mitigation),0.7184,0.0418,0.0491,Original model
Threshold Optimizer (post-process),0.7184,0.0418,0.0491,"Per-group thresholds: {'30-60K': 0.59, '60-100K': 0.48, '100-200K': 0.38, '<30K': 0.69, '>200K': 0.29}"
