number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
32,0.7417111713452775,2026-05-25 12:04:29.208052,2026-05-25 12:05:54.847852,0 days 00:01:25.639800,0.6596423190937372,0.013558245467009835,29,34,0.1480235873744059,0.024789447208908827,0.8703822288445172,COMPLETE
27,0.741678571017296,2026-05-25 11:59:51.806935,2026-05-25 12:01:21.595876,0 days 00:01:29.788941,0.6468479428655778,0.013935727850636724,32,37,0.07711550285957436,0.24351001160119412,0.8356259458473712,COMPLETE
31,0.7416417831839559,2026-05-25 12:03:13.970947,2026-05-25 12:04:29.207306,0 days 00:01:15.236359,0.6438265739576675,0.014758393127325664,29,36,0.13043880362632276,0.5714014390243727,0.8122622733458628,COMPLETE
22,0.741641631214309,2026-05-25 11:53:29.533308,2026-05-25 11:54:55.518968,0 days 00:01:25.985660,0.6357666213056368,0.015018333822496534,22,37,0.032030573864621395,0.6003374443754198,0.8106047383088213,COMPLETE
26,0.7416343515469388,2026-05-25 11:58:08.389904,2026-05-25 11:59:51.804269,0 days 00:01:43.414365,0.6528673108628101,0.013750833917881133,32,37,0.11196127773788578,0.5948611326150292,0.8322340026026905,COMPLETE
23,0.7416291906084349,2026-05-25 11:54:55.521782,2026-05-25 11:56:19.202402,0 days 00:01:23.680620,0.6511864963997482,0.014110817358433385,17,37,0.3372320798795155,0.6049989608715187,0.8069410260856268,COMPLETE
11,0.741596971634925,2026-05-25 11:41:07.199747,2026-05-25 11:43:33.588527,0 days 00:02:26.388780,0.7834697240695935,0.01041796710263191,5,23,0.32031819974297077,0.7446458384668034,0.7347390152853027,COMPLETE
41,0.7415896107234284,2026-05-25 12:14:38.256928,2026-05-25 12:16:14.085313,0 days 00:01:35.828385,0.6525623091844044,0.013214814448416278,30,34,0.1150200057866626,0.6398482131105747,0.8215857749201694,COMPLETE
42,0.7415867317502289,2026-05-25 12:16:14.086457,2026-05-25 12:17:29.983860,0 days 00:01:15.897403,0.646708229591254,0.014457987789270989,33,38,0.056757473594057445,0.5608175374103486,0.8007452748391578,COMPLETE
46,0.741585085522414,2026-05-25 12:20:30.824259,2026-05-25 12:21:22.802720,0 days 00:00:51.978461,0.6852664249005027,0.025635001089070377,29,25,0.11501440524507463,0.21833298590933145,0.74734301979271,COMPLETE
33,0.7415766788238477,2026-05-25 12:05:54.848787,2026-05-25 12:07:00.589379,0 days 00:01:05.740592,0.6940655036019061,0.01695152819294668,39,33,0.1589329666382964,0.080837294703374,0.8796369811324729,COMPLETE
13,0.7415111966301398,2026-05-25 11:45:46.381889,2026-05-25 11:47:55.047021,0 days 00:02:08.665132,0.6962642580113091,0.010441485920242665,7,19,0.41957977804124236,0.7119778022134116,0.7100949559667326,COMPLETE
45,0.7415043796493894,2026-05-25 12:19:31.032979,2026-05-25 12:20:30.823342,0 days 00:00:59.790363,0.618301175306486,0.016081802249174597,20,54,0.20098328158789108,0.5599238403124819,0.8647068022123405,COMPLETE
35,0.7414917138837372,2026-05-25 12:08:27.644400,2026-05-25 12:09:37.374377,0 days 00:01:09.729977,0.6658844449726986,0.018354591315162348,43,50,0.2181648755990654,0.1555999121405145,0.7886046685746111,COMPLETE
40,0.7414879939502093,2026-05-25 12:13:33.837085,2026-05-25 12:14:38.256212,0 days 00:01:04.419127,0.7238721144439884,0.016918465627220897,11,59,0.1311556625320808,0.29573973676694343,0.9503457144853565,COMPLETE
16,0.7414851310409892,2026-05-25 11:48:45.003009,2026-05-25 11:49:36.268778,0 days 00:00:51.265769,0.6772876502180768,0.026857991104963008,24,44,0.006907372279662205,0.37397770574158457,0.7702357857455316,COMPLETE
30,0.74146567624151,2026-05-25 12:02:27.536363,2026-05-25 12:03:13.970276,0 days 00:00:46.433913,0.6194551021963542,0.02281349906332438,57,54,0.080070400405249,0.2932668070222014,0.9376182019345312,COMPLETE
34,0.741457075894972,2026-05-25 12:07:00.590406,2026-05-25 12:08:27.641957,0 days 00:01:27.051551,0.631810226902473,0.012469275068835417,28,77,0.014125578314523546,0.1395716923573761,0.825675347610332,COMPLETE
43,0.7414501392925882,2026-05-25 12:17:29.984574,2026-05-25 12:18:29.394867,0 days 00:00:59.410293,0.6642478761383097,0.020382485654171903,22,28,0.11701807267787606,0.4468505847234908,0.8338678601487134,COMPLETE
12,0.7414430144115627,2026-05-25 11:43:33.590709,2026-05-25 11:45:46.378978,0 days 00:02:12.788269,0.7067964291781478,0.010590387794846811,6,17,0.394718675392662,0.7708525152086131,0.7225330368110788,COMPLETE
8,0.7414222725132342,2026-05-25 11:39:00.513515,2026-05-25 11:40:14.662870,0 days 00:01:14.149355,0.7554709158757927,0.01351182947645082,9,62,0.2713490317738959,0.8287375091519293,0.7301321323053057,COMPLETE
18,0.7414117082241745,2026-05-25 11:49:58.897559,2026-05-25 11:51:53.244168,0 days 00:01:54.346609,0.7242757678791986,0.010027547127744188,5,15,0.49186905382669743,0.6597904692744068,0.6950043757536312,COMPLETE
19,0.741406219228402,2026-05-25 11:51:53.246367,2026-05-25 11:52:41.618926,0 days 00:00:48.372559,0.8029967056557425,0.022504757487850562,44,49,0.26622700995142967,0.8359868928857552,0.7673697970588984,COMPLETE
2,0.7413943616789669,2026-05-25 11:33:34.079027,2026-05-25 11:34:37.197437,0 days 00:01:03.118410,0.7727780074568463,0.01855998084649058,34,59,0.2912291401980419,0.6118528947223795,0.8099025726528951,COMPLETE
25,0.7413896292306115,2026-05-25 11:57:17.985416,2026-05-25 11:58:08.389109,0 days 00:00:50.403693,0.6079730369432994,0.01993864610091682,18,69,0.3359188228546011,0.45240254684391656,0.9001101099773527,COMPLETE
37,0.7413823342034364,2026-05-25 12:10:51.201229,2026-05-25 12:11:50.372092,0 days 00:00:59.170863,0.7029454918239516,0.022248421608695227,38,63,0.15930683148356917,0.01822474769476476,0.8613229537481668,COMPLETE
49,0.7413586588024,2026-05-25 12:22:37.053022,2026-05-25 12:23:15.100552,0 days 00:00:38.047530,0.7149505814022264,0.03317903273353443,27,43,0.2978145967808786,0.7846153448354719,0.8501187517112023,COMPLETE
21,0.741350089131461,2026-05-25 11:52:52.688496,2026-05-25 11:53:29.532373,0 days 00:00:36.843877,0.6765160810119296,0.030004275881078884,15,43,0.012255917793517368,0.372159660450085,0.7597178593275226,COMPLETE
36,0.7413188391900065,2026-05-25 12:09:37.375435,2026-05-25 12:10:51.200002,0 days 00:01:13.824567,0.6007214282072841,0.015923192857937876,24,95,0.06604080408589405,0.27918124670322303,0.9079204948936834,COMPLETE
24,0.7412524190799514,2026-05-25 11:56:19.203284,2026-05-25 11:57:17.984228,0 days 00:00:58.780944,0.6358278574050004,0.014891718991235042,35,106,0.2188796015421834,0.608446763479371,0.8116206856081177,COMPLETE
